Code;Country;Year;Value;Population
IDN;Indonesia;1990;604.38;183501051
IDN;Indonesia;1991;604.38;186778184
IDN;Indonesia;1992;604.38;190043693
IDN;Indonesia;1993;604.37;193305126
IDN;Indonesia;1994;604.35;196591779
IDN;Indonesia;1995;605.81;199888001
IDN;Indonesia;1996;477.11;203204307
IDN;Indonesia;1997;1165.89;206536049
IDN;Indonesia;1998;585.37;209826738
IDN;Indonesia;1999;508.76;213004610
IDN;Indonesia;2000;453.63;216077748
IDN;Indonesia;2001;267.88;219097854
IDN;Indonesia;2002;635.64;222088455
IDN;Indonesia;2003;366.02;225047958
IDN;Indonesia;2004;625.05;227926604
IDN;Indonesia;2005;420.38;230871600
IDN;Indonesia;2006;723.63;233951608
IDN;Indonesia;2007;293.4;237062283
IDN;Indonesia;2008;286.66;240157845
IDN;Indonesia;2009;575.64;243219975
IDN;Indonesia;2010;287.97;246305285
IDN;Indonesia;2011;734.8;249469983
IDN;Indonesia;2012;746.86;252698471
IDN;Indonesia;2013;727.48;255852410
IDN;Indonesia;2014;978.94;258877350
IDN;Indonesia;2015;1007.36;261799196
IDN;Indonesia;2016;500.91;264627382
IDN;Indonesia;2017;474.95;267346608
IDN;Indonesia;2018;613.41;269951801
IDN;Indonesia;2019;787.51;272489333
IDN;Indonesia;2020;490.93;274814825
IDN;Indonesia;2021;473.72;276758010
IDN;Indonesia;2022;466.64;278830479
